player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0036389,Jalen Hurts,PHI,2022,1,18,32,243,0,0,16,91,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iv04omcunr78zezpnf8t",91
00-0036407,Jerry Jeudy,DEN,2022,1,0,0,0,0,0,0,0,4,102,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/by7fgv4x0iunsyx5ah2i",102
00-0036410,Tee Higgins,CIN,2022,1,0,0,0,0,0,0,0,2,27,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m8i5zbmmhqku4zsul3vj",27
00-0036412,KJ Hamler,DEN,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t3lqvv3d2tn6syqqtrat",0
00-0036414,Cam Akers,LA,2022,1,0,0,0,0,0,3,0,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mxqasyvni1bgyvxxhx4i",0
00-0036423,Albert Okwuegbunam,DEN,2022,1,0,0,0,0,0,0,0,5,33,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjgfncu6hvkvp0on89tz",33
00-0036442,Joe Burrow,CIN,2022,1,33,53,338,2,4,6,47,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pbl27kxsr5ulgxmvtvfn",47
00-0036482,Mike Strachan,IND,2022,1,0,0,0,0,0,0,0,2,36,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f0eepzx0zweaaoch5xfj",36
00-0036550,Rashod Bateman,BAL,2022,1,0,0,0,0,0,0,0,2,59,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rxkbjfe1pdmlvp1vd6i5",59
00-0036554,Nico Collins,HOU,2022,1,0,0,0,0,0,0,0,2,26,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mo63xdi05pkyzyggozwg",26
