dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2021-11-01,A,ORL,MIN,Mo Bamba,0,3,10,1,0,4,4,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png
2021-11-01,H,MEM,DEN,Steven Adams,0,0,7,1,1,2,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
2021-11-01,A,DEN,MEM,Aaron Gordon,2,5,10,1,0,0,1,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png
2021-11-01,H,MEM,DEN,Kyle Anderson,1,4,9,3,1,0,0,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png
2021-11-01,A,DEN,MEM,Nikola Jokic,2,6,7,7,0,4,3,23,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203999.png
2021-11-01,H,MEM,DEN,Tyus Jones,5,7,8,4,2,0,1,17,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626145.png
2021-11-01,A,DEN,MEM,Monte Morris,1,5,1,6,1,0,1,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628420.png
2021-11-01,H,MEM,DEN,De'Anthony Melton,1,5,7,1,1,0,1,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png
2021-11-01,A,DEN,MEM,Michael Porter,0,3,8,3,1,1,1,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629008.png
2021-11-01,H,MEM,DEN,Ja Morant,1,3,7,8,1,0,4,26,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629630.png
2021-11-01,A,DEN,MEM,Bones Hyland,2,6,1,1,2,0,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630538.png
2021-11-01,A,DEN,MEM,Jeff Green,0,2,4,3,0,0,2,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png
2021-11-01,A,DEN,MEM,Will Barton,0,2,4,4,2,0,2,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
2021-11-01,A,DEN,MEM,JaMychal Green,1,3,3,1,1,1,1,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png
2021-11-01,H,MEM,DEN,John Konchar,0,1,0,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629723.png
2021-11-01,H,MEM,DEN,Xavier Tillman,0,0,5,0,1,0,2,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630214.png
2021-11-01,H,MEM,DEN,Desmond Bane,1,5,6,2,0,0,2,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png
2021-11-01,H,MEM,DEN,Ziaire Williams,1,5,2,0,0,1,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630533.png
2021-11-01,A,DEN,MEM,Facundo Campazzo,0,2,1,0,0,1,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630267.png
2021-11-01,H,MEM,DEN,Jaren Jackson,3,4,4,0,1,1,1,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628991.png
2021-11-01,A,DEN,MEM,PJ Dozier,1,4,1,1,1,1,0,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628408.png
2021-11-01,H,ATL,WAS,Lou Williams,0,3,0,0,1,0,0,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101150.png
2021-11-01,H,ATL,WAS,Danilo Gallinari,4,7,5,0,1,0,0,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png
2021-11-01,A,WAS,ATL,Davis Bertans,0,0,0,0,0,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
2021-11-01,H,ATL,WAS,Gorgui Dieng,0,1,5,0,0,2,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203476.png
2021-11-01,A,WAS,ATL,Kentavious Caldwell-Pope,2,6,4,2,1,0,0,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
2021-11-01,A,WAS,ATL,Raul Neto,0,3,1,5,1,0,2,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203526.png
2021-11-01,H,ATL,WAS,Clint Capela,0,0,12,1,1,2,0,16,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png
2021-11-01,H,ATL,WAS,Bogdan Bogdanovic,4,6,6,6,0,0,0,16,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
2021-11-01,A,WAS,ATL,Montrezl Harrell,0,0,8,3,0,0,2,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
2021-11-01,H,ATL,WAS,John Collins,0,1,9,6,0,1,0,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png
2021-11-01,A,WAS,ATL,Kyle Kuzma,4,9,6,2,0,0,2,18,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png
2021-11-01,A,WAS,ATL,Aaron Holiday,1,1,1,2,0,0,1,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png
2021-11-01,H,ATL,WAS,Cam Reddish,3,6,4,2,2,0,2,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629629.png
2021-11-01,H,ATL,WAS,De'Andre Hunter,1,4,2,0,2,0,1,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png
2021-11-01,A,WAS,ATL,Daniel Gafford,0,0,5,0,0,3,0,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png
2021-11-01,A,WAS,ATL,Corey Kispert,1,2,2,0,1,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png
2021-11-01,A,WAS,ATL,Bradley Beal,3,11,2,3,2,0,4,24,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
2021-11-01,H,ATL,WAS,Trae Young,1,6,4,6,1,0,6,26,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png
