week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,WR,BUF,a,NE,0,3000,Marcus Thigpen
17,2014,WR,CHI,a,MIN,0,3000,Josh Bellamy
17,2014,WR,BAL,h,CLE,0,3000,Jacoby Jones
17,2014,WR,SF,h,ARI,0,3000,Bruce Ellington
17,2014,WR,TEN,h,IND,0,4300,Nate Washington
17,2014,WR,IND,a,TEN,0,3000,Joshua Cribbs
17,2014,TE,IND,a,TEN,22.6,4700,Coby Fleener
17,2014,TE,MIA,h,NYJ,15.5,4300,Charles Clay
17,2014,TE,KC,h,SDG,15.4,4600,Travis Kelce
17,2014,TE,WAS,h,DAL,15,3500,Jordan Reed
17,2014,TE,CHI,a,MIN,13.9,5300,Martellus Bennett
17,2014,TE,DEN,h,LV,13.6,3000,Virgil Green
17,2014,TE,IND,a,TEN,12.1,3000,Jack Doyle
17,2014,TE,NO,a,TB,11.4,6700,Jimmy Graham
17,2014,TE,TEN,h,IND,11.3,4400,Delanie Walker
17,2014,TE,CIN,a,PIT,11,3200,Jermaine Gresham
17,2014,TE,SDG,a,KC,10.7,5900,Antonio Gates
17,2014,TE,NYJ,a,MIA,10.3,3200,Jeff Cumberland
17,2014,TE,PHI,a,NYG,9.6,5100,Zach Ertz
17,2014,TE,GB,h,DET,9,3000,Richard Rodgers
17,2014,TE,DAL,a,WAS,8.9,5000,Jason Witten
17,2014,TE,CAR,a,ATL,7.5,3000,Ed Dickson
17,2014,TE,CLE,a,BAL,7.1,4400,Jordan Cameron
17,2014,TE,PHI,a,NYG,7.1,3000,Brent Celek
17,2014,TE,PIT,h,CIN,7.1,4500,Heath Miller
17,2014,TE,STL,a,SEA,6.7,3400,Jared Cook
17,2014,TE,BAL,h,CLE,6.6,3200,Owen Daniels
17,2014,TE,NYJ,a,MIA,6.4,3000,Jace Amaro
17,2014,TE,NYJ,a,MIA,6.4,3000,Zach Sudfeld
17,2014,TE,TB,h,NO,6.1,3000,Brandon Myers
17,2014,TE,CIN,a,PIT,6.1,3000,Ryan Hewitt
