posteam,defteam,week,play_type,yards_gained,sack,epa,play_clock
CLE,KC,1,pass,9,0,0.5602237001876347,3
CLE,KC,1,run,8,0,1.4900111485039815,5
CLE,KC,1,run,18,0,2.5148179662646726,8
KC,CLE,1,pass,9,0,0.5887284697964787,12
KC,CLE,1,pass,28,0,1.4567699030740187,12
KC,CLE,1,pass,0,0,-0.43119489739183336,14
KC,CLE,1,pass,0,0,-0.521096711163409,11
KC,CLE,1,pass,0,0,-1.3762376634404063,6
CLE,KC,1,run,5,0,0.3805342437699437,18
CLE,KC,1,run,15,0,0.7305421849596314,16
CLE,KC,1,pass,43,0,1.90091000800021,7
CLE,KC,1,pass,0,0,-0.17390408442588523,8
CLE,KC,1,pass,0,0,-0.35273171548033133,4
CLE,KC,1,pass,-11,1,-1.0246349035878666,9
CLE,KC,1,pass,45,0,-0.08734756032936275,9
KC,CLE,1,run,3,0,-0.35013502836227417,15
KC,CLE,1,run,4,0,-0.010800212621688843,9
KC,CLE,1,pass,6,0,1.2354014590382576,10
KC,CLE,1,run,4,0,-0.217905065510422,11
KC,CLE,1,pass,7,0,0.8763234214857221,9
KC,CLE,1,pass,0,0,-0.5217926267068833,3
KC,CLE,1,pass,12,0,1.220966481603682,17
KC,CLE,1,pass,0,0,-0.5721830923575908,7
KC,CLE,1,run,3,0,-0.5135013393592089,9
KC,CLE,1,run,8,0,1.7272447346476838,8
KC,CLE,1,run,9,0,0.651110758073628,6
KC,CLE,1,pass,6,0,0.23309836408589035,11
KC,CLE,1,run,7,0,0.3714206122676842,4
KC,CLE,1,pass,11,0,2.2625310830189846,12
CLE,KC,1,run,6,0,0.26872147736139596,14
CLE,KC,1,run,17,0,1.3354744964744896,6
CLE,KC,1,run,4,0,-5.416348226135597,5
KC,CLE,1,run,1,0,-0.5067646452225745,16
KC,CLE,1,pass,8,0,0.5990611455636099,12
KC,CLE,1,run,2,0,0.5108167344005778,10
KC,CLE,1,run,5,0,0.01370674918871373,5
KC,CLE,1,pass,3,0,-0.28521404997445643,4
KC,CLE,1,pass,14,0,1.753000316384714,5
KC,CLE,1,run,4,0,-0.11026210192358121,8
KC,CLE,1,pass,-4,1,-1.0726154448930174,9
KC,CLE,1,pass,0,0,-0.6659243294143131,16
CLE,KC,1,pass,11,0,0.7026938288472593,7
CLE,KC,1,run,2,0,-0.4933516555465758,6
CLE,KC,1,pass,9,0,1.2026664956938475,6
CLE,KC,1,run,6,0,0.2302864317316562,3
CLE,KC,1,pass,30,0,1.9956094169756398,5
CLE,KC,1,run,7,0,0.24592625349760056,3
CLE,KC,1,run,6,0,0.8534987781895325,18
CLE,KC,1,run,2,0,-0.027638626925181597,21
CLE,KC,1,run,2,0,1.1265824455185793,3
KC,CLE,1,pass,75,0,6.025716950418428,16
CLE,KC,1,pass,-6,1,-1.394721898715943,7
CLE,KC,1,pass,4,0,-0.42953399382531643,4
CLE,KC,1,pass,0,0,-0.8820607943926007,8
CLE,KC,1,run,0,0,-3.3422745866701007,6
KC,CLE,1,run,7,0,0.3711087224073708,8
KC,CLE,1,run,0,0,-0.760599615459796,2
KC,CLE,1,pass,8,0,2.5938250992330723,3
CLE,KC,1,pass,10,0,0.6870336513966322,21
CLE,KC,1,run,-2,0,-1.1187626728788018,7
CLE,KC,1,pass,0,0,-1.1193182454444468,6
KC,CLE,1,run,4,0,0.003083124873228371,15
KC,CLE,1,pass,4,0,-0.004693339462392032,7
KC,CLE,1,pass,14,0,1.4718400365673006,3
