season,week,team,opponent
2021,1,PIT,BUF
2021,1,NYJ,CAR
2021,1,MIN,CIN
2021,1,SF,DET
2021,1,JAX,HOU
2021,1,SEA,IND
2021,1,ARI,TEN
2021,1,LAC,WAS
2021,1,CLE,KC
2021,1,MIA,NE
2021,1,GB,NO
2021,1,DEN,NYG
2021,1,CHI,LA
2021,1,BAL,LV
2021,2,NYG,WAS
2021,2,NO,CAR
2021,2,CIN,CHI
2021,2,HOU,CLE
2021,2,LA,IND
2021,2,DEN,JAX
2021,2,BUF,MIA
2021,2,NE,NYJ
2021,2,SF,PHI
2021,2,LV,PIT
2021,2,MIN,ARI
2021,2,ATL,TB
2021,2,DAL,LAC
2021,2,TEN,SEA
2021,2,KC,BAL
2021,2,DET,GB
2021,3,CAR,HOU
2021,3,WAS,BUF
2021,3,CHI,CLE
2021,3,BAL,DET
2021,3,ARI,JAX
2021,3,LAC,KC
2021,3,NO,NE
2021,3,ATL,NYG
2021,3,CIN,PIT
2021,3,IND,TEN
2021,3,NYJ,DEN
2021,3,MIA,LV
2021,3,TB,LA
2021,3,SEA,MIN
2021,3,GB,SF
2021,3,PHI,DAL
2021,4,JAX,CIN
2021,4,WAS,ATL
2021,4,HOU,BUF
2021,4,DET,CHI
2021,4,CAR,DAL
2021,4,IND,MIA
2021,4,CLE,MIN
2021,4,NYG,NO
2021,4,TEN,NYJ
2021,4,KC,PHI
2021,4,ARI,LA
2021,4,SEA,SF
2021,4,BAL,DEN
2021,4,PIT,GB
2021,4,TB,NE
2021,4,LV,LAC
2021,5,LA,SEA
2021,5,NYJ,ATL
2021,5,PHI,CAR
2021,5,GB,CIN
2021,5,NE,HOU
2021,5,TEN,JAX
2021,5,DET,MIN
2021,5,DEN,PIT
2021,5,MIA,TB
2021,5,NO,WAS
2021,5,CLE,LAC
2021,5,CHI,LV
2021,5,SF,ARI
2021,5,NYG,DAL
2021,5,BUF,KC
2021,5,IND,BAL
2021,6,TB,PHI
2021,6,MIA,JAX
2021,6,LAC,BAL
2021,6,MIN,CAR
2021,6,GB,CHI
2021,6,CIN,DET
2021,6,HOU,IND
2021,6,LA,NYG
2021,6,KC,WAS
2021,6,ARI,CLE
2021,6,LV,DEN
2021,6,DAL,NE
2021,6,SEA,PIT
2021,6,BUF,TEN
2021,7,DEN,CLE
2021,7,CIN,BAL
2021,7,WAS,GB
2021,7,ATL,MIA
2021,7,NYJ,NE
2021,7,CAR,NYG
2021,7,KC,TEN
2021,7,DET,LA
2021,7,PHI,LV
2021,7,HOU,ARI
2021,7,CHI,TB
2021,7,IND,SF
2021,7,NO,SEA
2021,8,GB,ARI
2021,8,CAR,ATL
2021,8,MIA,BUF
2021,8,SF,CHI
2021,8,PIT,CLE
2021,8,PHI,DET
2021,8,LA,HOU
2021,8,TEN,IND
2021,8,CIN,NYJ
2021,8,NE,LAC
2021,8,JAX,SEA
2021,8,WAS,DEN
2021,8,TB,NO
2021,8,DAL,MIN
2021,8,NYG,KC
2021,9,NYJ,IND
2021,9,MIN,BAL
2021,9,NE,CAR
2021,9,CLE,CIN
2021,9,DEN,DAL
2021,9,BUF,JAX
2021,9,HOU,MIA
2021,9,ATL,NO
2021,9,LV,NYG
2021,9,LAC,PHI
2021,9,GB,KC
2021,9,ARI,SF
2021,9,TEN,LA
2021,9,CHI,PIT
2021,10,BAL,MIA
2021,10,ATL,DAL
2021,10,JAX,IND
2021,10,CLE,NE
2021,10,BUF,NYJ
2021,10,DET,PIT
2021,10,NO,TEN
2021,10,TB,WAS
2021,10,CAR,ARI
2021,10,MIN,LAC
2021,10,PHI,DEN
2021,10,SEA,GB
2021,10,KC,LV
2021,10,LA,SF
2021,11,NE,ATL
2021,11,IND,BUF
2021,11,WAS,CAR
2021,11,BAL,CHI
2021,11,DET,CLE
2021,11,SF,JAX
2021,11,GB,MIN
2021,11,MIA,NYJ
2021,11,NO,PHI
2021,11,HOU,TEN
2021,11,CIN,LV
2021,11,DAL,KC
2021,11,ARI,SEA
2021,11,PIT,LAC
2021,11,NYG,TB
2021,12,CHI,DET
2021,12,LV,DAL
2021,12,BUF,NO
2021,12,PIT,CIN
2021,12,NYJ,HOU
2021,12,TB,IND
2021,12,ATL,JAX
2021,12,CAR,MIA
2021,12,TEN,NE
2021,12,PHI,NYG
2021,12,LAC,DEN
2021,12,LA,GB
2021,12,MIN,SF
2021,12,CLE,BAL
2021,12,SEA,WAS
2021,13,DAL,NO
2021,13,TB,ATL
2021,13,ARI,CHI
2021,13,LAC,CIN
2021,13,MIN,DET
2021,13,IND,HOU
2021,13,DEN,KC
2021,13,NYG,MIA
2021,13,PHI,NYJ
2021,13,WAS,LV
2021,13,JAX,LA
2021,13,BAL,PIT
2021,13,SF,SEA
2021,13,NE,BUF
2021,14,PIT,MIN
2021,14,ATL,CAR
2021,14,SF,CIN
2021,14,BAL,CLE
2021,14,SEA,HOU
2021,14,LV,KC
2021,14,NO,NYJ
2021,14,JAX,TEN
2021,14,DAL,WAS
2021,14,DET,DEN
2021,14,NYG,LAC
2021,14,BUF,TB
2021,14,CHI,GB
2021,14,LA,ARI
2021,15,KC,LAC
2021,15,GB,BAL
2021,15,CAR,BUF
2021,15,LV,CLE
2021,15,ARI,DET
2021,15,NE,IND
2021,15,HOU,JAX
2021,15,NYJ,MIA
2021,15,DAL,NYG
2021,15,WAS,PHI
2021,15,TEN,PIT
2021,15,CIN,DEN
2021,15,ATL,SF
2021,15,SEA,LA
2021,15,NO,TB
2021,15,MIN,CHI
2021,16,SF,TEN
2021,16,CLE,GB
2021,16,IND,ARI
2021,16,DET,ATL
2021,16,TB,CAR
2021,16,BAL,CIN
2021,16,LAC,HOU
2021,16,LA,MIN
2021,16,BUF,NE
2021,16,JAX,NYJ
2021,16,NYG,PHI
2021,16,CHI,SEA
2021,16,PIT,KC
2021,16,DEN,LV
2021,16,WAS,DAL
2021,16,MIA,NO
2021,17,ATL,BUF
2021,17,NYG,CHI
2021,17,KC,CIN
2021,17,ARI,DAL
2021,17,LV,IND
2021,17,JAX,NE
2021,17,CAR,NO
2021,17,TB,NYJ
2021,17,MIA,TEN
2021,17,PHI,WAS
2021,17,DEN,LAC
2021,17,HOU,SF
2021,17,LA,BAL
2021,17,DET,SEA
2021,17,MIN,GB
2021,17,CLE,PIT
2021,18,NO,ATL
2021,18,PIT,BAL
2021,18,NYJ,BUF
2021,18,CIN,CLE
2021,18,GB,DET
2021,18,TEN,HOU
2021,18,IND,JAX
2021,18,NE,MIA
2021,18,CHI,MIN
2021,18,WAS,NYG
2021,18,DAL,PHI
2021,18,CAR,TB
2021,18,SEA,ARI
2021,18,KC,DEN
2021,18,SF,LA
2021,18,LAC,LV
