dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-12-31,H,CHA,BOS,Malik Monk,1,7,0,4,1,3,15,2,2,2,1,0,1,0,4,10.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png
2019-12-31,A,BOS,CHA,Semi Ojeleye,2,5,2,3,0,2,21,0,0,1,1,1,0,0,6,11.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628400.png
2019-12-31,A,BOS,CHA,Daniel Theis,2,9,0,2,2,7,23,1,2,6,0,2,1,0,5,21.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628464.png
2019-12-31,H,CHA,BOS,Cody Zeller,4,8,0,0,4,8,18,2,2,4,1,0,0,0,10,16.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203469.png
2019-12-31,H,CHA,BOS,Bismack Biyombo,4,5,0,0,4,5,16,0,0,3,1,1,0,1,8,15.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png
2019-12-31,A,BOS,CHA,Enes Freedom,6,7,0,0,6,7,23,1,2,14,2,0,6,0,13,50.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202683.png
2019-12-31,A,BOS,CHA,Brad Wanamaker,2,7,1,3,1,4,21,2,2,2,1,1,0,2,7,11.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202954.png
2019-12-31,A,BOS,CHA,Marcus Smart,3,12,1,7,2,5,30,0,1,5,7,1,0,1,7,25.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png
2019-12-31,H,CHA,BOS,Dwayne Bacon,4,8,2,4,2,4,18,1,2,3,1,1,0,2,11,17.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
2019-12-31,H,CHA,BOS,Terry Rozier,4,13,2,5,2,8,34,0,0,2,5,0,0,2,10,17.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626179.png
